report_id,timestamp,site,site_type,area,latitude,longitude,shift,worker_id,role,hazard_type,severity,ppe_compliant,near_miss,injury,resolved,time_to_close_hours,risk_score,equipment_id,temperature_c,visibility_m
RPT10013,2025-06-26 05:50:51.452014,North Ridge Mine,underground,Conveyor,50.119784,-114.028997,Day,WKR6789,Engineer,Electrical,1,False,0,0,True,3.12,51,EQ516,30.0,8.3
RPT10014,2025-07-23 18:55:51.452014,Surface Operations,surface,Loading Bay,50.04834,-114.295196,Day,WKR2773,Operator,Ergonomics,1,True,1,0,True,6.64,53,,19.5,32.5
RPT10015,2025-11-22 02:20:51.452014,Lakeview Shaft,underground,Loading Bay,49.839575,-115.105012,Night,WKR5444,Maintenance,Chemical,1,False,0,0,True,2.25,46,,31.1,16.7
RPT10016,2025-07-09 18:18:51.452014,Surface Operations,surface,Maintenance Bay,50.058037,-114.317384,Day,WKR5674,Operator,Slip/Trip,3,True,0,0,False,,91,,21.9,45.3
RPT10017,2025-09-20 16:16:51.452014,North Ridge Mine,underground,Shaft 2,50.116741,-114.012451,Evening,WKR5423,Operator,Visibility,1,False,0,0,True,8.81,64,,29.0,14.6
RPT10018,2025-08-20 00:03:51.452014,Surface Operations,surface,Crusher,50.050674,-114.299255,Day,WKR6424,Operator,Ergonomics,2,True,1,0,False,,47,,20.7,54.4
RPT10019,2025-08-02 12:19:51.452014,Lakeview Shaft,underground,Loading Bay,49.836267,-115.104705,Evening,WKR4273,Geologist,Slip/Trip,2,True,0,0,True,8.02,61,,31.4,-5.0
RPT10020,2025-10-14 18:11:51.452014,Lakeview Shaft,underground,Shaft 1,49.858749,-115.112352,Day,WKR6036,Operator,Chemical,2,True,0,0,True,9.41,30,,28.9,7.6
RPT10021,2025-06-10 18:37:51.452014,Mill Complex,processing,Shaft 1,50.188842,-114.199621,Evening,WKR5014,Logistics,Environmental,2,True,0,0,True,5.03,50,,19.7,65.0
RPT10022,2025-08-19 03:48:51.452014,Lakeview Shaft,underground,Mill Floor,49.845955,-115.125938,Night,WKR9512,Processing Technician,Visibility,3,False,0,0,True,12.07,97,,23.8,11.3
RPT10023,2025-06-02 18:20:51.452014,Lakeview Shaft,underground,Crusher,49.842561,-115.121949,Night,WKR8386,Operator,Other,1,True,1,0,True,1.54,45,,31.7,27.7
RPT10024,2025-06-28 02:07:51.452014,North Ridge Mine,underground,Conveyor,50.116333,-114.017546,Day,WKR6475,Operator,Other,1,True,0,0,True,3.38,36,,32.6,17.8
RPT10025,2025-08-21 13:42:51.452014,Lakeview Shaft,underground,Conveyor,49.834898,-115.130193,Day,WKR8772,Logistics,Other,1,True,0,0,True,7.21,30,,32.6,26.1
RPT10026,2025-06-15 18:05:51.452014,Lakeview Shaft,underground,Conveyor,49.861076,-115.121414,Evening,WKR3520,Operator,Chemical,2,False,0,0,True,5.91,95,,30.8,4.1
RPT10027,2025-08-11 15:41:51.452014,Mill Complex,processing,Surface Pit,50.191427,-114.200268,Night,WKR2813,Logistics,Chemical,4,True,0,0,True,40.19,67,,20.8,78.0
RPT10028,2025-10-23 18:21:51.452014,Surface Operations,surface,Maintenance Bay,50.045328,-114.291249,Night,WKR9152,Safety Officer,Ergonomics,1,True,0,0,False,,46,,23.3,55.2
RPT10029,2025-07-12 11:13:51.452014,Mill Complex,processing,Crusher,50.198143,-114.196861,Evening,WKR7149,Operator,Other,1,True,0,0,True,14.46,37,,24.9,59.9
RPT10030,2025-06-16 10:11:51.452014,Lakeview Shaft,underground,Surface Pit,49.84279,-115.143066,Day,WKR8021,Geologist,Visibility,2,True,0,0,False,,69,,27.9,37.1
RPT10031,2025-05-28 16:29:51.452014,North Ridge Mine,underground,Maintenance Bay,50.133931,-114.007654,Day,WKR9054,Supervisor,Ground Instability,1,True,0,0,False,,51,,27.9,-3.4
RPT10032,2025-08-02 00:14:51.452014,Lakeview Shaft,underground,Surface Pit,49.840257,-115.119806,Day,WKR9547,Safety Officer,Ergonomics,3,True,0,0,False,,45,,34.7,18.3
RPT10033,2025-07-24 12:09:51.452014,North Ridge Mine,underground,Loading Bay,50.122877,-114.036581,Night,WKR4869,Logistics,Equipment Interference,3,True,0,0,True,9.58,91,EQ769,29.5,15.5
RPT10034,2025-10-07 19:12:51.452014,Surface Operations,surface,Shaft 1,50.051148,-114.308217,Day,WKR3867,Operator,Other,3,True,0,0,True,17.11,66,,19.9,64.9
RPT10035,2025-10-19 08:45:51.452014,Surface Operations,surface,Crusher,50.045618,-114.311216,Evening,WKR9110,Operator,Ground Instability,2,True,1,0,True,6.53,35,,26.6,53.1
RPT10036,2025-10-24 19:37:51.452014,North Ridge Mine,underground,Shaft 2,50.098211,-114.018718,Night,WKR1152,Engineer,Other,2,True,1,0,True,13.95,52,,29.7,-2.7
RPT10037,2025-11-17 17:37:51.452014,North Ridge Mine,underground,Maintenance Bay,50.10526,-114.019651,Day,WKR8950,Logistics,Environmental,3,True,0,0,True,19.2,64,,29.4,25.8
RPT10038,2025-11-02 10:54:51.452014,Mill Complex,processing,Crusher,50.211635,-114.195934,Day,WKR4914,Logistics,Equipment Interference,1,True,1,0,True,6.93,47,EQ914,24.1,49.7
RPT10039,2025-10-31 23:50:51.452014,North Ridge Mine,underground,Maintenance Bay,50.115686,-114.01525,Night,WKR1751,Operator,Environmental,2,True,0,0,True,7.68,31,,32.9,2.9
RPT10040,2025-07-25 11:37:51.452014,Mill Complex,processing,Mill Floor,50.203367,-114.189135,Evening,WKR5231,Supervisor,Ergonomics,2,False,1,0,True,8.02,57,,25.0,52.2
RPT10041,2025-09-07 19:48:51.452014,Surface Operations,surface,Mill Floor,50.063349,-114.309713,Day,WKR8110,Supervisor,Other,2,True,0,0,True,8.14,41,,22.2,48.2
RPT10042,2025-09-07 15:12:51.452014,Lakeview Shaft,underground,Shaft 1,49.848362,-115.127836,Evening,WKR5655,Maintenance,Fire/Explosion,3,True,0,0,False,,60,EQ423,36.4,-6.3
RPT10043,2025-08-28 12:23:51.452014,Mill Complex,processing,Conveyor,50.182768,-114.200564,Night,WKR8134,Operator,Slip/Trip,1,True,0,0,True,5.89,49,,20.5,35.0
RPT10044,2025-08-07 07:51:51.452014,North Ridge Mine,underground,Maintenance Bay,50.09392,-114.018621,Evening,WKR4976,Logistics,Fire/Explosion,1,True,1,0,True,5.48,31,EQ418,24.2,-7.5
RPT10045,2025-08-17 08:17:51.452014,North Ridge Mine,underground,Shaft 1,50.12954,-114.019651,Evening,WKR8458,Supervisor,Equipment Interference,1,True,0,0,True,6.97,57,EQ252,31.4,-4.4
RPT10046,2025-06-09 05:06:51.452014,North Ridge Mine,underground,Surface Pit,50.125218,-114.021225,Day,WKR3739,Maintenance,Slip/Trip,1,True,1,0,True,3.25,53,,27.8,4.1
RPT10047,2025-11-05 04:50:51.452014,Mill Complex,processing,Crusher,50.195631,-114.197897,Evening,WKR7454,Engineer,Equipment Interference,2,False,0,0,False,,96,EQ918,23.4,56.0
RPT10048,2025-07-08 04:29:51.452014,Surface Operations,surface,Mill Floor,50.056787,-114.313603,Day,WKR9084,Operator,Ground Instability,3,True,0,0,True,27.75,93,,20.3,58.8
RPT10049,2025-07-31 00:03:51.452014,Mill Complex,processing,Crusher,50.203495,-114.207186,Day,WKR8617,Operator,Environmental,1,True,0,0,False,,35,,19.9,28.9
RPT10050,2025-08-13 18:26:51.452014,Mill Complex,processing,Shaft 1,50.205882,-114.199831,Night,WKR6895,Safety Officer,Visibility,4,True,0,0,True,119.34,72,,25.9,53.2
RPT10051,2025-10-19 12:43:51.452014,Surface Operations,surface,Mill Floor,50.058064,-114.317561,Day,WKR8674,Maintenance,Other,3,True,0,0,True,16.28,59,,18.7,58.8
RPT10052,2025-10-03 21:48:51.452014,North Ridge Mine,underground,Surface Pit,50.097748,-114.044594,Night,WKR7839,Supervisor,Ground Instability,3,True,0,0,True,28.98,56,,32.0,2.6
RPT10053,2025-07-27 14:04:51.452014,Surface Operations,surface,Shaft 2,50.055105,-114.291926,Day,WKR9103,Engineer,Ground Instability,2,True,1,0,True,11.63,47,,20.9,85.9
RPT10054,2025-06-09 01:20:51.452014,North Ridge Mine,underground,Surface Pit,50.104029,-114.010014,Night,WKR1343,Processing Technician,Ergonomics,2,False,0,0,False,,63,,22.8,12.2
RPT10055,2025-07-10 09:12:51.452014,Lakeview Shaft,underground,Mill Floor,49.857112,-115.128532,Day,WKR7839,Supervisor,Other,1,False,0,0,True,6.83,45,,21.8,0.9
RPT10056,2025-08-29 13:23:51.452014,North Ridge Mine,underground,Surface Pit,50.117978,-113.99629,Evening,WKR4693,Geologist,Other,2,True,0,0,True,9.61,34,,27.0,0.9
RPT10057,2025-10-26 22:10:51.452014,Surface Operations,surface,Shaft 1,50.045549,-114.303406,Night,WKR9997,Operator,Ergonomics,3,True,0,0,True,17.01,74,,27.1,39.8
RPT10058,2025-07-30 03:23:51.452014,Surface Operations,surface,Loading Bay,50.044096,-114.290509,Day,WKR9425,Operator,Visibility,2,True,0,0,True,7.66,46,,23.2,62.8
RPT10059,2025-06-04 15:47:51.452014,Surface Operations,surface,Shaft 1,50.020634,-114.29263,Day,WKR4121,Engineer,Electrical,4,True,0,0,False,,96,EQ600,25.8,74.9
RPT10060,2025-06-09 12:11:51.452014,Lakeview Shaft,underground,Shaft 2,49.844081,-115.138541,Day,WKR6496,Operator,Equipment Interference,4,True,0,1,True,69.47,95,EQ287,33.1,4.4
RPT10061,2025-06-12 00:15:51.452014,Lakeview Shaft,underground,Maintenance Bay,49.842144,-115.100483,Day,WKR2562,Maintenance,Equipment Interference,5,True,0,0,True,101.25,64,EQ491,36.6,17.1
RPT10062,2025-11-14 13:02:51.452014,Lakeview Shaft,underground,Maintenance Bay,49.835922,-115.126864,Day,WKR7103,Safety Officer,Slip/Trip,1,False,0,0,True,2.37,60,,24.2,6.4
RPT10063,2025-05-28 03:10:51.452014,North Ridge Mine,underground,Loading Bay,50.107118,-114.029269,Day,WKR9236,Maintenance,Ground Instability,1,True,1,0,True,7.09,52,,28.9,25.1
RPT10064,2025-08-08 23:38:51.452014,Mill Complex,processing,Crusher,50.203802,-114.197743,Night,WKR5475,Operator,Ergonomics,5,True,0,1,True,100.03,100,,26.2,28.8
RPT10065,2025-10-08 15:50:51.452014,North Ridge Mine,underground,Conveyor,50.112284,-114.013264,Evening,WKR8603,Logistics,Environmental,1,True,1,0,True,8.62,49,,31.3,9.9
RPT10066,2025-09-30 10:19:51.452014,Surface Operations,surface,Maintenance Bay,50.059485,-114.297694,Night,WKR7968,Engineer,Visibility,4,True,0,0,True,15.5,100,,25.9,62.0
RPT10067,2025-06-30 02:42:51.452014,Mill Complex,processing,Shaft 1,50.204577,-114.18013,Day,WKR4612,Operator,Other,2,True,1,0,False,,61,,24.8,31.2
RPT10068,2025-08-29 04:47:51.452014,Surface Operations,surface,Conveyor,50.038178,-114.301436,Evening,WKR6079,Engineer,Ergonomics,1,True,1,0,True,2.42,28,,27.9,56.3
RPT10069,2025-09-19 14:40:51.452014,Lakeview Shaft,underground,Maintenance Bay,49.862899,-115.125219,Day,WKR8124,Maintenance,Other,4,True,0,0,True,90.61,89,,36.3,15.1
RPT10070,2025-09-13 08:53:51.452014,Mill Complex,processing,Surface Pit,50.198919,-114.201216,Evening,WKR1293,Maintenance,Chemical,1,False,0,0,True,8.01,40,,25.8,29.3
RPT10071,2025-08-28 20:09:51.452014,Lakeview Shaft,underground,Mill Floor,49.843271,-115.125565,Evening,WKR8995,Geologist,Equipment Interference,2,True,1,0,True,2.74,55,EQ471,29.3,-4.1
RPT10072,2025-08-20 11:32:51.452014,North Ridge Mine,underground,Crusher,50.128187,-114.031897,Evening,WKR8578,Engineer,Chemical,2,True,0,0,False,,53,,33.7,5.3
RPT10073,2025-09-01 04:38:51.452014,Mill Complex,processing,Shaft 1,50.217699,-114.186778,Evening,WKR7472,Operator,Slip/Trip,1,True,1,0,False,,52,,26.2,55.9
RPT10074,2025-11-02 18:49:51.452014,Surface Operations,surface,Crusher,50.06217,-114.296995,Night,WKR8967,Operator,Environmental,1,True,0,0,False,,45,,21.4,59.0
RPT10075,2025-11-08 10:18:51.452014,North Ridge Mine,underground,Maintenance Bay,50.125095,-114.021221,Night,WKR4729,Supervisor,Slip/Trip,1,True,1,0,False,,46,,23.9,-4.4
RPT10076,2025-06-19 01:39:51.452014,Lakeview Shaft,underground,Maintenance Bay,49.844051,-115.120771,Day,WKR8332,Engineer,Other,1,True,0,0,False,,61,,31.3,-4.3
RPT10077,2025-07-20 06:35:51.452014,Lakeview Shaft,underground,Maintenance Bay,49.845813,-115.120227,Night,WKR1064,Logistics,Visibility,1,True,0,0,True,3.64,68,,31.0,24.5
RPT10078,2025-06-05 16:39:51.452014,Lakeview Shaft,underground,Shaft 2,49.841483,-115.126291,Night,WKR1949,Geologist,Equipment Interference,3,True,0,0,False,,51,EQ338,28.6,18.0
RPT10079,2025-07-18 05:15:51.452014,North Ridge Mine,underground,Conveyor,50.107924,-114.031625,Night,WKR9290,Operator,Other,2,True,0,0,True,9.41,47,,29.9,1.0
RPT10080,2025-06-02 07:15:51.452014,North Ridge Mine,underground,Maintenance Bay,50.105064,-114.006345,Day,WKR4921,Supervisor,Other,2,True,0,0,True,6.02,49,,28.9,23.5
RPT10081,2025-06-30 07:44:51.452014,Lakeview Shaft,underground,Maintenance Bay,49.849618,-115.129196,Evening,WKR1631,Operator,Fire/Explosion,1,True,0,0,True,1.58,44,EQ333,33.4,-11.7
RPT10082,2025-09-11 13:23:51.452014,Surface Operations,surface,Surface Pit,50.045839,-114.29491,Day,WKR1720,Operator,Other,3,True,0,0,True,21.08,73,,19.0,50.0
RPT10083,2025-08-10 21:11:51.452014,North Ridge Mine,underground,Conveyor,50.128484,-114.01012,Evening,WKR4316,Operator,Slip/Trip,1,True,0,0,True,7.3,66,,33.5,10.3
RPT10084,2025-08-09 16:17:51.452014,North Ridge Mine,underground,Shaft 2,50.118776,-114.026884,Day,WKR7564,Processing Technician,Visibility,5,True,0,0,True,76.71,91,,28.9,35.4
RPT10085,2025-05-29 05:52:51.452014,Lakeview Shaft,underground,Conveyor,49.862802,-115.124874,Night,WKR1741,Maintenance,Other,2,True,0,0,True,6.85,68,,25.0,3.4
RPT10086,2025-09-07 15:39:51.452014,Lakeview Shaft,underground,Shaft 2,49.855525,-115.111335,Evening,WKR9006,Logistics,Slip/Trip,1,True,0,0,True,10.8,36,,14.2,11.2
RPT10087,2025-06-30 13:17:51.452014,Surface Operations,surface,Shaft 2,50.047592,-114.297801,Night,WKR4350,Engineer,Slip/Trip,1,True,0,0,False,,44,,14.0,62.5
RPT10088,2025-10-02 21:22:51.452014,Mill Complex,processing,Surface Pit,50.221801,-114.203142,Day,WKR3445,Operator,Other,2,True,0,0,True,5.92,66,,22.8,42.7
RPT10089,2025-06-11 15:25:51.452014,Surface Operations,surface,Shaft 2,50.050844,-114.304052,Night,WKR5815,Supervisor,Ground Instability,4,True,0,0,False,,67,,21.1,59.6
RPT10090,2025-11-21 00:29:51.452014,North Ridge Mine,underground,Crusher,50.117028,-114.014799,Night,WKR2386,Supervisor,Other,1,True,1,0,True,3.25,30,,32.6,16.8
RPT10091,2025-08-13 13:38:51.452014,Lakeview Shaft,underground,Conveyor,49.845174,-115.128821,Day,WKR9947,Maintenance,Environmental,3,True,0,0,True,7.56,73,,26.9,3.6
RPT10092,2025-10-02 14:55:51.452014,Lakeview Shaft,underground,Shaft 2,49.842979,-115.119461,Day,WKR4126,Operator,Electrical,3,True,0,0,True,26.65,66,EQ556,33.1,23.6
RPT10093,2025-11-05 12:44:51.452014,Surface Operations,surface,Conveyor,50.031704,-114.294336,Night,WKR3229,Processing Technician,Ergonomics,1,True,0,0,False,,77,,27.4,61.8
RPT10094,2025-10-12 23:38:51.452014,Mill Complex,processing,Surface Pit,50.192698,-114.212482,Day,WKR4767,Operator,Slip/Trip,2,True,0,0,True,5.78,55,,23.1,69.7
RPT10095,2025-07-30 00:47:51.452014,Mill Complex,processing,Conveyor,50.197036,-114.189014,Day,WKR7139,Supervisor,Visibility,4,True,0,0,False,,79,,22.2,59.5
RPT10096,2025-10-08 00:32:51.452014,Surface Operations,surface,Shaft 2,50.060143,-114.304702,Day,WKR4153,Operator,Equipment Interference,1,True,1,0,True,13.25,60,EQ156,27.1,43.0
RPT10097,2025-07-20 18:49:51.452014,Surface Operations,surface,Mill Floor,50.046547,-114.288138,Night,WKR6202,Operator,Ergonomics,4,False,0,0,False,,100,,23.5,43.7
RPT10098,2025-10-18 02:15:51.452014,Surface Operations,surface,Shaft 2,50.055846,-114.293972,Day,WKR5417,Maintenance,Environmental,1,True,0,0,False,,20,,24.7,65.9
RPT10099,2025-09-17 10:56:51.452014,Surface Operations,surface,Surface Pit,50.061488,-114.294281,Day,WKR5423,Operator,Slip/Trip,3,True,0,0,True,58.8,63,,22.9,58.6
RPT10100,2025-10-31 23:17:51.452014,Lakeview Shaft,underground,Conveyor,49.844354,-115.125971,Night,WKR3404,Supervisor,Other,3,True,0,0,True,26.95,87,,27.5,22.1
RPT10101,2025-08-02 22:02:51.452014,Mill Complex,processing,Crusher,50.181716,-114.208716,Night,WKR6422,Safety Officer,Slip/Trip,3,True,0,0,True,24.0,71,,21.8,41.6
RPT10102,2025-08-05 14:22:51.452014,Surface Operations,surface,Crusher,50.067338,-114.30539,Day,WKR2793,Supervisor,Other,1,True,0,0,True,11.62,33,,19.7,41.5
RPT10103,2025-08-09 14:42:51.452014,Mill Complex,processing,Surface Pit,50.18863,-114.199639,Day,WKR9644,Logistics,Slip/Trip,3,True,0,0,True,15.6,66,,16.5,68.9
RPT10104,2025-07-27 15:35:51.452014,Mill Complex,processing,Shaft 1,50.190927,-114.194022,Day,WKR9473,Processing Technician,Other,1,False,0,0,True,11.74,63,,23.4,49.5
RPT10105,2025-08-03 18:08:51.452014,Mill Complex,processing,Loading Bay,50.200653,-114.197467,Night,WKR8914,Logistics,Ground Instability,1,True,1,0,True,5.75,38,,26.2,35.5
RPT10106,2025-06-28 08:00:51.452014,North Ridge Mine,underground,Mill Floor,50.119517,-114.035752,Day,WKR2108,Maintenance,Slip/Trip,1,True,0,0,False,,36,,23.7,22.7
RPT10107,2025-07-30 12:28:51.452014,Lakeview Shaft,underground,Maintenance Bay,49.832375,-115.114819,Evening,WKR4130,Processing Technician,Other,1,True,0,0,True,3.43,20,,23.7,35.3
RPT10108,2025-11-05 12:00:51.452014,North Ridge Mine,underground,Loading Bay,50.11745,-114.019769,Day,WKR5845,Safety Officer,Environmental,4,True,0,0,True,37.87,71,,28.0,22.8
RPT10109,2025-09-12 04:22:51.452014,North Ridge Mine,underground,Loading Bay,50.114502,-114.012666,Day,WKR8886,Processing Technician,Chemical,4,True,0,1,True,52.99,52,,22.3,17.5
RPT10110,2025-10-04 00:18:51.452014,North Ridge Mine,underground,Shaft 2,50.120087,-114.032985,Evening,WKR4171,Operator,Ground Instability,2,True,0,0,True,8.61,60,,28.0,23.2
RPT10111,2025-08-19 09:28:51.452014,Surface Operations,surface,Mill Floor,50.064943,-114.307343,Evening,WKR7702,Logistics,Ground Instability,4,True,0,1,True,91.88,77,,13.3,52.8
RPT10112,2025-10-22 03:40:51.452014,North Ridge Mine,underground,Shaft 2,50.120625,-113.998508,Day,WKR5516,Operator,Ground Instability,1,False,0,0,True,6.05,55,,31.5,31.0
RPT10113,2025-08-16 05:11:51.452014,Surface Operations,surface,Surface Pit,50.048446,-114.308077,Night,WKR4548,Operator,Ground Instability,4,True,0,1,False,,81,,19.0,52.0
RPT10114,2025-07-29 07:39:51.452014,North Ridge Mine,underground,Loading Bay,50.104078,-114.035158,Day,WKR4346,Supervisor,Other,1,True,0,0,False,,48,,27.3,0.7
RPT10115,2025-08-02 20:10:51.452014,North Ridge Mine,underground,Shaft 1,50.124357,-114.008583,Day,WKR8764,Operator,Visibility,1,True,0,0,False,,51,,29.2,10.2
RPT10116,2025-09-02 02:47:51.452014,Lakeview Shaft,underground,Maintenance Bay,49.8419,-115.125898,Day,WKR3223,Operator,Ground Instability,1,True,0,0,True,5.73,36,,33.2,16.8
RPT10117,2025-07-31 11:58:51.452014,Surface Operations,surface,Surface Pit,50.050663,-114.313273,Evening,WKR8077,Operator,Slip/Trip,2,True,0,0,True,6.91,49,,19.0,68.4
RPT10118,2025-07-19 04:53:51.452014,North Ridge Mine,underground,Maintenance Bay,50.140273,-114.012694,Evening,WKR3738,Processing Technician,Slip/Trip,1,True,1,0,True,4.22,25,,36.1,2.6
RPT10119,2025-05-31 06:36:51.452014,North Ridge Mine,underground,Shaft 2,50.111722,-114.02411,Day,WKR7429,Operator,Equipment Interference,2,True,1,0,True,5.99,53,EQ572,27.2,16.0
RPT10120,2025-07-03 13:01:51.452014,Surface Operations,surface,Shaft 1,50.055864,-114.29482,Evening,WKR7058,Engineer,Visibility,1,True,1,0,True,4.89,44,,20.8,31.3
RPT10121,2025-06-03 00:56:51.452014,Lakeview Shaft,underground,Shaft 2,49.824306,-115.126684,Night,WKR2406,Supervisor,Visibility,1,True,0,0,True,1.57,63,,32.5,1.5
RPT10122,2025-08-25 22:39:51.452014,North Ridge Mine,underground,Conveyor,50.133268,-114.028264,Day,WKR3826,Engineer,Slip/Trip,1,True,0,0,True,3.39,27,,31.0,10.4
RPT10123,2025-09-12 13:49:51.452014,Lakeview Shaft,underground,Conveyor,49.853756,-115.118166,Night,WKR5274,Operator,Chemical,4,True,0,0,True,84.82,61,,33.8,19.2
RPT10124,2025-08-19 09:04:51.452014,Mill Complex,processing,Crusher,50.192899,-114.204486,Evening,WKR1750,Logistics,Slip/Trip,1,True,0,0,True,3.09,18,,15.4,29.2
RPT10125,2025-06-16 23:57:51.452014,Mill Complex,processing,Loading Bay,50.202539,-114.19425,Day,WKR9169,Maintenance,Other,2,True,1,0,True,7.49,48,,22.8,36.9
RPT10126,2025-07-13 14:46:51.452014,Mill Complex,processing,Crusher,50.195776,-114.193167,Day,WKR8837,Processing Technician,Electrical,5,False,0,0,True,150.69,88,EQ213,25.2,58.8
RPT10127,2025-09-02 03:55:51.452014,Surface Operations,surface,Mill Floor,50.060239,-114.289785,Night,WKR7088,Supervisor,Ergonomics,3,True,0,0,True,10.42,38,,22.1,44.6
RPT10128,2025-08-03 13:17:51.452014,Mill Complex,processing,Shaft 2,50.206563,-114.213713,Day,WKR3182,Engineer,Visibility,1,True,0,0,True,4.93,57,,25.4,47.7
RPT10129,2025-08-08 08:32:51.452014,Lakeview Shaft,underground,Loading Bay,49.848326,-115.129723,Evening,WKR9307,Engineer,Environmental,2,False,0,0,True,26.38,75,,31.4,-1.4
RPT10130,2025-06-20 14:30:51.452014,Mill Complex,processing,Mill Floor,50.201823,-114.182328,Evening,WKR6391,Logistics,Other,1,True,0,0,False,,50,,18.3,86.8
RPT10131,2025-08-19 08:51:51.452014,North Ridge Mine,underground,Maintenance Bay,50.101862,-114.025192,Night,WKR7397,Safety Officer,Other,1,True,1,0,True,3.76,59,,33.5,19.3
RPT10132,2025-06-02 13:26:51.452014,North Ridge Mine,underground,Mill Floor,50.129443,-114.029892,Night,WKR5043,Operator,Ground Instability,2,False,0,0,True,6.33,100,,25.0,6.0
RPT10133,2025-08-11 06:32:51.452014,North Ridge Mine,underground,Shaft 1,50.119423,-114.021681,Day,WKR4456,Maintenance,Electrical,1,True,1,0,False,,62,EQ269,33.4,-2.8
RPT10134,2025-11-07 18:46:51.452014,North Ridge Mine,underground,Shaft 2,50.115634,-114.025791,Day,WKR9938,Supervisor,Environmental,4,True,0,1,True,169.09,88,,30.0,0.1
RPT10135,2025-07-13 01:15:51.452014,Lakeview Shaft,underground,Shaft 1,49.832871,-115.115558,Evening,WKR7417,Operator,Electrical,1,True,0,0,True,2.81,45,EQ997,36.4,26.8
RPT10136,2025-06-18 14:43:51.452014,Mill Complex,processing,Maintenance Bay,50.182518,-114.184139,Evening,WKR7869,Processing Technician,Visibility,1,True,0,0,True,4.84,43,,23.5,34.9
RPT10137,2025-10-02 22:52:51.452014,Mill Complex,processing,Crusher,50.202705,-114.200522,Night,WKR6310,Safety Officer,Environmental,1,True,0,0,False,,72,,24.7,70.9
RPT10138,2025-11-22 02:54:51.452014,North Ridge Mine,underground,Shaft 1,50.115754,-114.025922,Day,WKR6957,Logistics,Chemical,1,True,0,0,True,1.76,50,,37.6,28.2
RPT10139,2025-11-11 18:55:51.452014,North Ridge Mine,underground,Surface Pit,50.104503,-114.028241,Evening,WKR9567,Processing Technician,Ergonomics,1,True,0,0,True,2.93,44,,28.4,4.5
RPT10140,2025-06-23 01:20:51.452014,Lakeview Shaft,underground,Shaft 2,49.850053,-115.142624,Day,WKR3912,Maintenance,Ergonomics,2,True,0,0,True,9.32,38,,30.8,52.4
RPT10141,2025-06-21 17:42:51.452014,Surface Operations,surface,Maintenance Bay,50.032211,-114.288129,Day,WKR3149,Safety Officer,Chemical,3,True,0,0,True,26.68,65,,18.4,82.6
